"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P2";"CL12345";1;"CL12345";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_Pad";4;"M3_Pad";;;
3;"U2";"DIP-8_W7.62mm_LongPads";1;"LM555N";;;
4;"U1";"TO-220-3_Horizontal";1;"LM7805CT";;;
5;"P1";"JST_XH_B02B-XH-A_02x2.50mm_Straight";1;"6.3V AC IN";;;
6;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"124K";;;
7;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"7K5";;;
8;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4k7";;;
9;"R4,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"220";;;
10;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2K2";;;
11;"C2";"C_Disc_D7.5mm_W4.4mm_P5.00mm";1;"0.01uF";;;
12;"D2";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
13;"D3";"LED_D3.0mm-3";1;"LED_Dual_ACA";;;
14;"D4";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4004";;;
15;"RL1";"Relay_DPDT_AXICOM_V23079_Pitch5.08mm";1;"AZ850-x";;;
16;"P3";"JST_XH_B02B-XH-A_02x2.50mm_Straight";1;"Right";;;
17;"P4";"JST_XH_B02B-XH-A_02x2.50mm_Straight";1;"Left";;;
18;"D1";"Diode_Bridge_Round_D8.9mm";1;"D_Bridge_+A-A";;;
19;"C1";"CP_Radial_D6.3mm_P2.50mm";1;"220 uF";;;
20;"C3";"CP_Radial_D6.3mm_P2.50mm";1;"220uF";;;
21;"Q1";"TO-92_Inline_Narrow_Oval";1;"BC557";;;
22;"Q2";"TO-92_Inline_Narrow_Oval";1;"BC547";;;
23;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10K";;;
24;"REF***";"OSHW-Logo_5.7x6mm_Copper";1;"OSHW-Logo_5.7x6mm_Copper";;;
25;"REF**";"Symbol_CC-ShareAlike_CopperTop_Small";1;"Symbol_CC-ShareAlike_CopperTop_Small";;;
26;"REF**";"Symbol_CC-Attribution_CopperTop_Small";1;"Symbol_CC-Attribution_CopperTop_Small";;;
